394,1585,446,1585,446,1617,394,1617
382,1745,408,1745,408,1777,382,1777
530,1725,583,1725,583,1760,530,1760
580,1574,631,1574,631,1608,580,1608
670,1585,724,1585,724,1617,670,1617
700,1630,724,1630,724,1662,700,1662
403,1968,486,1968,486,1999,403,1999
876,1740,930,1740,930,1773,876,1773
1011,1710,1063,1710,1063,1743,1011,1743
1030,1525,1140,1525,1140,1558,1030,1558
437,2189,491,2189,491,2221,437,2221
665,2051,720,2051,720,2082,665,2082
736,2253,847,2253,847,2290,736,2290
949,2066,1004,2066,1004,2098,949,2098
1267,2075,1321,2075,1321,2107,1267,2107
1260,2188,1314,2188,1314,2221,1260,2221
1166,1730,1249,1730,1249,1762,1166,1762
1345,1743,1482,1743,1482,1775,1345,1775
1493,2075,1548,2075,1548,2108,1493,2108
1444,2189,1500,2189,1500,2222,1444,2222
1327,1608,1381,1608,1381,1640,1327,1640
1348,1585,1366,1585,1366,1605,1348,1605
1446,1585,1465,1585,1465,1608,1446,1608
1432,1609,1486,1609,1486,1640,1432,1640
1346,1493,1365,1493,1365,1517,1346,1517
1440,1493,1461,1493,1461,1519,1440,1519
1675,1524,1785,1524,1785,1555,1675,1555
1730,1718,1783,1718,1783,1749,1730,1749
1570,1712,1650,1712,1650,1743,1570,1743
1887,1744,1942,1744,1942,1777,1887,1777
2056,1632,2083,1632,2083,1659,2056,1659
2078,1586,2134,1586,2134,1617,2078,1617
1802,2063,1857,2063,1857,2095,1802,2095
1982,2255,2092,2255,2092,2287,1982,2287
2094,2049,2148,2049,2148,2081,2094,2081
2336,2010,2419,2010,2419,2042,2336,2042
2320,2189,2374,2189,2374,2220,2320,2220
2231,1727,2283,1727,2283,1758,2231,1758
2167,1587,2222,1587,2222,1617,2167,1617
2402,1587,2456,1587,2456,1617,2402,1617
2362,1637,2386,1637,2386,1667,2362,1667
2573,1637,2599,1637,2599,1667,2573,1667
2587,1586,2641,1586,2641,1617,2587,1617
2620,2204,2676,2204,2676,2235,2620,2235
2596,2010,2678,2010,2678,2041,2596,2041
2723,1727,2777,1727,2777,1758,2723,1758
2794,1586,2847,1586,2847,1618,2794,1618
2863,1585,2917,1585,2917,1618,2863,1618
2884,1631,2910,1631,2910,1660,2884,1660
2859,2049,2914,2049,2914,2082,2859,2082
2928,2254,3038,2254,3038,2288,2928,2288
3149,2062,3202,2062,3202,2094,3149,2094
3063,1744,3118,1744,3118,1777,3063,1777
3219,1718,3274,1718,3274,1750,3219,1750
3459,2075,3514,2075,3514,2107,3459,2107
3468,2172,3522,2172,3522,2204,3468,2204
3237,1524,3335,1524,3335,1555,3237,1555
3438,1711,3520,1711,3520,1744,3438,1744
3516,1608,3575,1608,3575,1641,3516,1641
3625,1609,3679,1609,3679,1640,3625,1640
3546,1582,3566,1582,3566,1607,3546,1607
3644,1584,3659,1584,3659,1608,3644,1608
3537,1493,3558,1493,3558,1518,3537,1518
3635,1494,3655,1494,3655,1517,3635,1517
3545,1744,3684,1744,3684,1775,3545,1775
3766,1729,3848,1729,3848,1762,3766,1762
3685,2075,3740,2075,3740,2107,3685,2107
3683,2189,3736,2189,3736,2220,3683,2220
3880,1526,3991,1526,3991,1560,3880,1560
3919,1710,3974,1710,3974,1741,3919,1741
4073,1740,4129,1740,4129,1772,4073,1772
4002,2065,4055,2065,4055,2098,4002,2098
4286,2050,4339,2050,4339,2082,4286,2082
4172,2254,4284,2254,4284,2288,4172,2288
4512,2189,4565,2189,4565,2220,4512,2220
4528,1968,4612,1968,4612,1998,4528,1998
4574,1746,4601,1746,4601,1776,4574,1776
4423,1727,4475,1727,4475,1758,4423,1758
4547,1586,4602,1586,4602,1619,4547,1619
4469,1574,4524,1574,4524,1607,4469,1607
4262,1630,4289,1630,4289,1661,4262,1661
4271,1586,4325,1586,4325,1619,4271,1619
