397,1279,437,1279,437,1294,397,1294
400,1358,427,1358,427,1374,400,1374
550,1278,576,1278,576,1294,550,1294
613,1415,665,1415,665,1431,613,1431
919,1415,971,1415,971,1431,919,1431
714,1279,739,1279,739,1294,714,1294
846,1279,871,1279,871,1294,846,1294
1008,1279,1034,1279,1034,1294,1008,1294
922,1196,947,1196,947,1212,922,1212
924,1067,949,1067,949,1083,924,1083
1004,1062,1030,1062,1030,1079,1004,1079
626,1067,651,1067,651,1083,626,1083
543,1063,569,1063,569,1078,543,1078
393,1026,418,1026,418,1041,393,1041
353,1111,365,1111,365,1125,353,1125
352,1184,365,1184,365,1198,352,1198
437,971,462,971,462,986,437,986
654,1196,679,1196,679,1212,654,1212
1148,1025,1175,1025,1175,1041,1148,1041
822,1055,848,1055,848,1072,822,1072
822,1073,902,1073,902,1088,822,1088
964,993,1016,993,1016,1008,964,1008
1154,1278,1193,1278,1193,1294,1154,1294
711,1116,723,1116,723,1132,711,1132
766,1117,778,1117,778,1133,766,1133
762,1208,774,1208,774,1225,762,1225
801,1208,815,1208,815,1225,801,1225
809,1126,847,1126,847,1142,809,1142
1111,962,1137,962,1137,977,1111,977
1317,1026,1343,1026,1343,1041,1317,1041
1458,1063,1484,1063,1484,1078,1458,1078
1462,1279,1489,1279,1489,1295,1462,1295
1309,1279,1348,1279,1348,1294,1309,1294
1362,970,1389,970,1389,987,1362,987
1434,998,1486,998,1486,1014,1434,1014
1141,1358,1168,1358,1168,1374,1141,1374
1309,1363,1335,1363,1335,1379,1309,1379
1519,1415,1571,1415,1571,1431,1519,1431
1826,1414,1880,1414,1880,1431,1826,1431
1623,1278,1651,1278,1651,1294,1623,1294
1752,1279,1778,1279,1778,1295,1752,1295
1819,1196,1845,1196,1845,1211,1819,1211
1545,1195,1571,1195,1571,1211,1545,1211
1534,1067,1562,1067,1562,1083,1534,1083
1834,1067,1860,1067,1860,1083,1834,1083
1754,1057,1781,1057,1781,1075,1754,1075
1715,1073,1790,1073,1790,1092,1715,1092
1661,837,1730,837,1730,853,1661,853
1618,1117,1634,1117,1634,1133,1618,1133
1672,1118,1688,1118,1688,1134,1672,1134
1670,1209,1686,1209,1686,1225,1670,1225
1709,1209,1725,1209,1725,1225,1709,1225
1257,1111,1271,1111,1271,1125,1257,1125
1257,1184,1271,1184,1271,1197,1257,1197
1201,1184,1214,1184,1214,1198,1201,1198
1201,1111,1214,1111,1214,1124,1201,1124
1914,1062,1941,1062,1941,1079,1914,1079
1913,1279,1939,1279,1939,1294,1913,1294
2350,1278,2378,1278,2378,1294,2350,1294
2447,1196,2474,1196,2474,1212,2447,1212
2430,1067,2456,1067,2456,1083,2430,1083
2351,1063,2378,1063,2378,1079,2351,1079
2210,1026,2239,1026,2239,1041,2210,1041
2058,1026,2084,1026,2084,1041,2058,1041
2007,971,2034,971,2034,986,2007,986
2201,971,2227,971,2227,986,2201,986
1872,993,1924,993,1924,1008,1872,1008
1751,1125,1788,1125,1788,1143,1751,1143
2110,1111,2122,1111,2122,1125,2110,1125
2154,1111,2166,1111,2166,1125,2154,1125
2153,1184,2166,1184,2166,1197,2153,1197
2109,1184,2123,1184,2123,1198,2109,1198
2058,1279,2099,1279,2099,1294,2058,1294
2205,1279,2245,1279,2245,1294,2205,1294
2030,1358,2057,1358,2057,1372,2030,1372
2193,1358,2220,1358,2220,1375,2193,1375
2321,1001,2374,1001,2374,1017,2321,1017
2511,1126,2550,1126,2550,1142,2511,1142
2604,1118,2616,1118,2616,1133,2604,1133
2658,1117,2671,1117,2671,1132,2658,1132
2507,1054,2534,1054,2534,1069,2507,1069
2508,1070,2587,1070,2587,1086,2508,1086
2781,998,2835,998,2835,1014,2781,1014
2812,1063,2838,1063,2838,1079,2812,1079
2727,1067,2754,1067,2754,1083,2727,1083
2567,1209,2580,1209,2580,1224,2567,1224
2602,1209,2615,1209,2615,1225,2602,1225
2518,1279,2544,1279,2544,1295,2518,1295
2647,1278,2674,1278,2674,1294,2647,1294
2814,1279,2841,1279,2841,1295,2814,1295
2718,1196,2744,1196,2744,1211,2718,1211
2962,1026,2989,1026,2989,1041,2962,1041
2985,971,3011,971,3011,987,2985,987
3009,1111,3023,1111,3023,1126,3009,1126
3009,1184,3022,1184,3022,1199,3009,1199
2953,1279,2992,1279,2992,1295,2953,1295
2944,1358,2971,1358,2971,1373,2944,1373
2417,1415,2469,1415,2469,1431,2417,1431
2722,1415,2775,1415,2775,1430,2722,1430
2584,837,2654,837,2654,853,2584,853
527,993,580,993,580,1008,527,1008
693,837,761,837,761,853,693,853
